FullP,Full,PAT,Myth,GAT,NDD,MythP,Test
[-1],[-1],[-1],[-1],[-1],[-1],[-1],/micro/cache-minimal-incorrect
3.7222299575805664,3.7139370441436768,3.7078797817230225,3.6869239807128906,3.7240889072418213,3.7112529277801514,3.7028720378875732,/micro/range-trivial
[-1],[-1],[-1],[-1],[-1],[-1],[-1],/vfa/bst-@-dict
247.64141821861267,246.98463416099548,246.98463416099548,[-1],3042.9651639461517,286.8994641304016,[-1],/useful/sized-list
31.947180032730103,[-1],34.60968279838562,20.48492193222046,[-1],42.269999980926514,19.696129083633423,/useful/sorted-list-@-set


544.0998198986053,[-1],[-1],141.0404829978943,[-1],[-1],[-1],/useful/list-@-max-heap
1.563431978225708,[-1],2.263974905014038,1.3493380546569824,[-1],5.694853067398071,1.0240578651428223,/useful/cache-minimal
[-1],[-1],[-1],[-1],[-1],[-1],[-1],/useful/tree-@-heap
5.362040042877197,[-1],5.383440017700195,5.477196216583252,6.891880989074707,6.287999868392944,6.28655219078064,/useful/range
[-1],[-1],[-1],[-1],[-1],[-1],[-1],/useful/rbt-@-set
5.361221075057983,[-1],5.374284982681274,5.493973016738892,6.865841865539551,6.32338809967041,6.264320135116577,/useful/nat-nat-option-@-range
[-1],[-1],[-1],[-1],[-1],[-1],[-1],/useful/binary-search-tree-@-set
[-1],[-1],[-1],[-1],[-1],[-1],[-1],/useful/unique-list-@-set
[-1],[-1],[-1],9.981376886367798,[-1],[-1],7.190452814102173,/useful/stutter-list
